Y,n,block,entry,lat,lng
2,8,1,14,1,1
1,9,1,16,1,2
9,13,1,7,1,3
9,9,1,6,1,4
2,9,1,13,2,1
7,14,1,15,2,2
6,8,1,8,2,3
8,11,1,5,2,4
7,12,1,11,3,1
8,11,1,12,3,2
8,10,1,2,3,3
5,12,1,3,3,4
7,9,1,10,4,1
8,15,1,9,4,2
6,19,1,4,4,3
7,8,1,1,4,4
6,15,2,15,5,1
9,11,2,3,5,2
5,12,2,10,5,3
9,9,2,2,5,4
10,20,2,11,6,1
8,10,2,7,6,2
4,12,2,14,6,3
7,10,2,6,6,4
8,8,2,5,7,1
0,6,2,13,7,2
2,9,2,12,7,3
0,9,2,16,7,4
9,14,2,9,8,1
12,13,2,1,8,2
3,12,2,8,8,3
7,14,2,4,8,4
7,7,3,7,1,5
0,7,3,13,1,6
3,13,3,8,1,7
0,9,3,14,1,8
11,15,3,4,2,5
7,9,3,10,2,6
11,15,3,3,2,7
5,13,3,9,2,8
9,16,3,6,3,5
8,8,3,1,3,6
0,7,3,15,3,7
8,12,3,12,3,8
1,8,3,11,4,5
1,15,3,16,4,6
7,12,3,5,4,7
12,16,3,2,4,8
8,15,4,9,5,5
6,10,4,4,5,6
5,13,4,12,5,7
9,15,4,1,5,8
6,17,4,15,6,5
2,8,4,6,6,6
5,12,4,14,6,7
8,15,4,7,6,8
2,13,4,13,7,5
9,13,4,8,7,6
9,9,4,3,7,7
6,6,4,10,7,8
8,12,4,2,8,5
7,9,4,11,8,6
10,11,4,5,8,7
7,15,4,16,8,8
